ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt, GPS.speed, GPS.speedAccel, GPS.latitude, GPS.longitude
1.899058, 0.582018, 0.597018, 1.956060, 1.089033, 1.089033, 1.089033, 1.089033, 0.579393, 0.579393, 0.579393, 0.579393, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -90.019997, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.914058, 0.576018, 0.597018, 1.962060, 1.298102, 1.298102, 1.298102, 1.298102, 0.548642, 0.548642, 0.548642, 0.548642, 0.000000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.905058, 0.585018, 0.624019, 1.956060, 1.314790, 1.314790, 1.314790, 1.241850, 0.548079, 0.548079, 0.548079, 0.555392, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.887058, 0.579018, 0.615019, 1.959060, 1.029969, 1.029969, 1.029969, 1.029969, 0.837401, 0.837401, 0.837401, 0.837401, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 71.959999, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.893058, 0.585018, 0.606018, 0.606018, 1.317228, 1.317228, 1.317228, 1.317228, 0.580893, 0.580893, 0.580893, 0.580893, 0.000000, -0.001953, 0.000000, 1.066406, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
2.019062, 0.579018, 0.624019, 2.100064, 1.339541, 1.339541, 1.339541, 1.256476, 0.555017, 0.555017, 0.555017, 0.555017, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
2.019062, 0.582018, 0.627019, 1.995061, 1.256476, 1.256476, 1.256476, 1.256476, 0.540392, 0.540392, 0.540392, 0.540392, 0.000000, -0.033203, -0.001953, 1.066406, 93.360664, 90.104889, 107.940002, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.908058, 0.564017, 0.621019, 1.962060, 1.384355, 1.384355, 1.384355, 1.255163, 0.546954, 0.546954, 0.546954, 0.546954, -0.100000, -0.001953, -0.001953, 1.035156, 125.264381, 90.108101, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.911058, 0.588018, 0.612019, 1.947059, 1.255163, 1.255163, 1.255163, 1.255163, 0.543017, 0.543017, 0.543017, 0.543017, -0.100000, -0.001953, 0.000000, 1.066406, 90.000000, 90.000000, -0.070000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.893058, 0.576018, 0.603018, 1.947059, 1.361479, 1.361479, 1.361479, 1.285352, 0.543579, 0.543579, 0.543579, 0.543579, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.890058, 0.588018, 0.630019, 1.938059, 1.285352, 1.285352, 1.285352, 1.285352, 0.550892, 0.550892, 0.550892, 0.550892, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 107.940002, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.872057, 0.576018, 0.624019, 1.944059, 1.329978, 1.329978, 1.329978, 1.329978, 0.546767, 0.546767, 0.546767, 0.546767, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 107.940002, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.902058, 0.579018, 0.621019, 1.932059, 1.332603, 1.332603, 1.332603, 1.332603, 0.541329, 0.541329, 0.541329, 0.541329, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 107.940002, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.893058, 0.576018, 0.612019, 1.938059, 1.261163, 1.261163, 1.261163, 1.261163, 0.541142, 0.541142, 0.541142, 0.541142, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -108.010002, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.890058, 0.579018, 0.633019, 1.929059, 1.359229, 1.359229, 1.359229, 1.359229, 0.544517, 0.544517, 0.544517, 0.544517, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.881057, 0.582018, 0.621019, 1.920059, 1.343291, 1.343291, 1.343291, 1.215412, 0.544517, 0.544517, 0.544517, 0.544517, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
